Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Pkg Code
C1206C104K5RACTU	Kemet	DK	399-1249-1-ND	CAP .10UF 50V CERAMIC X7R 1206	1206
C0805C473K5RACTU	Kemet	DK	399-1166-1-ND	CAP 47000PF 50V CERAMIC X7R 0805	805
C0805F104K5RACTU	Kemet	DK	399-5110-1-ND	CAP CER .1UF 50V X7R 0805 FO	805
C0805C152K5RACTU	Kemet	DK	399-1150-1-ND	CAP 1500PF 50V CERAMIC X7R 0805	805
C0805C220J5GACTU	Kemet	DK	399-1113-1-ND	CAP CERAMIC 22PF 50V NP0 0805	805
C0805C106K9PACTU	Kemet	DK	399-3138-1-ND	CAP CERAMIC 10UF 6.3V X5R 0805	805
C0805C105Z3VACTU	Kemet	DK	399-1293-1-ND	CAP 1.0UF 25V CERAMIC Y5V 0805	805
C0805F474K3RACTU	Kemet	DK	399-5112-1-ND	CAP CER .47UF 25V X7R 0805 FO	805
C0805C330J5GACTU	Kemet	DK	399-1115-1-ND	CAP CERAMIC 33PF 50V NP0 0805	805
C0805C471J5GACTU	Kemet	DK	399-1133-1-ND	CAP CERAMIC 470PF 50V NP0 0805	805
C0805C472K5RACTU	Kemet	DK	399-1155-1-ND	CAP 4700PF 50V CERAMIC X7R 0805	805
C0805C561J5GACTU	Kemet	DK	399-1134-1-ND	CAP CERAMIC 560PF 50V NP0 0805	805
C0805C682K5RACTU	Kemet	DK	399-1157-1-ND	CAP 6800PF 50V CERAMIC X7R 0805	805
EEE-1CA101P	Panasonic - ECG	DK	PCE3879CT-ND	CAP ELECT 100UF 16V VS SMD	*
EEE-1EA471P	Panasonic - ECG	DK	PCE3909CT-ND	CAP ELECT 470UF 25V VS SMD	*
L78L33ACUTR	STMicroelectronics	DK	497-1200-1-ND	IC REGULATOR POS 3.3V SOT89	*
L7805ACD2T	STMicroelectronics	DK	497-1440-5-ND	IC REG POS 1.5A 5V PREC D2PAK	*
LM324D	Texas Instruments	DK	296-1390-5-ND	IC OPAMP GP 1.2MHZ QUAD 14SOIC	*
MAX3243ECPWR	Texas Instruments	DK	296-19808-1-ND	IC RS232 3V-5.5V DRVR 28-TSSOP	*
TLC084CD	Texas Instruments	DK	296-2423-5-ND	IC OPAMP GP 10MHZ QUAD 14SOIC	*
640454-2	Tyco Electronics 	DK	A19423-ND	CONN HEADER VERT 2POS .100 TIN	*
640454-8	Tyco Electronics 	DK	A19435-ND	CONN HEADER VERT 8POS .100 TIN	*
643813-2	Tyco Electronics 	DK	A23837-ND	CONN RECEPT 2POS 22AWG MTA100	*
IRF614SPBF	Vishay/Siliconix	DK	IRF614SPBF-ND	MOSFET N-CH 250V 2.7A D2PAK	*
IRF614SPBF 	Vishay/Siliconix	DK	IRF614SPBF-ND	MOSFET N-CH 250V 2.7A D2PAK	*
RC0805JR-070RL	Yageo	DK	311-0.0ARCT-ND	RES 0.0 OHM 1/8W 5% 0805 SMD	805
MT8870DS	Zarlink	FE	MT8870DS	DTMF Decoder IC	*
MAX3243IPWR	Texas Instruments	DK	296-6946-1-ND	IC RS232 MLTCH DRVR/RCVR 28TSSOP	TSSOP28
MK20DX256VLH7	Freescale	DK	MK20DX256VLH7-ND	IC MCU ARM 256KB FLASH 64LQFP	LQFP64
NRF24L01P-T	Nordic Semiconductor	DK	1490-1019-ND	IC RF TRANSCEIVER 2.4GHZ 20QFN	QFN20
W25Q40EWSNIG	Winbond Electronics	DK	W25Q40EWSNIG-ND	IC FLASH 4MBIT 80MHZ 8SOIC	SOIC8
TPS61200DRCR	Texas Instruments	DK	296-27017-1-ND	IC REG BOOST ADJ 1.2A SYNC 10SON	SON10
MCR03ERTJ471	Rohm Semiconductor	DK	RHM470CGCT-ND	RES SMD 470 OHM 5% 1/10W 0603	603
MCR03ERTF1202	Rohm Semiconductor	DK	RHM12.0KCLCT-ND	RES SMD 12K OHM 1% 1/10W 0603	603
ERJ-3GEYJ105V	Rohm Semiconductor	DK	P1.0MGCT-ND	RES SMD 1M OHM 5% 1/10W 0603	603
MCR03ERTF3300	Rohm Semiconductor	DK	RHM330CFCT-ND	RES SMD 330 OHM 1% 1/10W 0603	603
MCR03ERTF2202	Rohm Semiconductor	DK	RHM22.0KCFCT-ND	RES SMD 22K OHM 1% 1/10W 0603	603
RMCF0603FT10K0CT-ND	Stackpole Electronics Inc	DK	RMCF0603FT10K0CT-ND	RES SMD 10K OHM 1% 1/10W 0603	603
MCR03ERTF33R0	Rohm Semiconductor	DK	RHM33.0CFCT-ND	RES SMD 33 OHM 1% 1/10W 0603	603
RC0603JR-0710KL	Yageo	DK	311-10KGRCT-ND	RES SMD 10K OHM 5% 1/10W 0603	603
RC0402JR-0710KL	Yageo	DK	311-10KJRCT-ND	RES SMD 10K OHM 5% 1/16W 0402	402
RC0603JR-07220KL	Yageo	DK	311-220KGRCT-ND	RES SMD 220K OHM 5% 1/10W 0603	603
RC0603JR-0712KL	Yageo	DK	311-12KGRCT-ND	RES SMD 12K OHM 5% 1/10W 0603	603
RC0603JR-071M2L	Yageo	DK	311-1.2MGRCT-ND	RES SMD 1.2M OHM 5% 1/10W 0603	603
RC0603JR-072ML	Yageo	DK	311-2.0MGRCT-ND	RES SMD 2M OHM 5% 1/10W 0603	603
RC0402JR-07330RL	Yageo	DK	311-330JRCT-ND	RES SMD 330 OHM 5% 1/16W 0402	402
RC0603JR-07330RL	Yageo	DK	311-330GRCT-ND	RES SMD 330 OHM 5% 1/10W 0603	603
RC0603JR-07470RL	Yageo	DK	311-470GRCT-ND	RES SMD 470 OHM 5% 1/10W 0603	603
RC0603JR-071KL	Yageo	DK	311-1.0KGRCT-ND	RES SMD 1K OHM 5% 1/10W 0603	603
RC0603FR-071ML	Yageo	DK	311-1.00MHRCT-ND	RES SMD 1M OHM 1% 1/10W 0603	603
RC0603JR-0722KL	Yageo	DK	311-22KGRCT-ND	RES SMD 22K OHM 5% 1/10W 0603	603
RC0603FR-07200RL	Yageo	DK	311-200HRCT-ND	RES SMD 200 OHM 1% 1/10W 0603	603
RC0402JR-0733RL	Yageo	DK	311-33JRCT-ND	RES SMD 33 OHM 5% 1/16W 0402	402
GRM188F51H224ZA01D	Murata Electronics North America	DK	490-1569-1-ND	CAP CER 0.22UF 50V Y5V 0603	603
251R14S150JV4T	Johanson Technology Inc	DK	712-1318-1-ND	CAP CER 15PF 250V 5% NP0 0603	603
251R14S1R0BV4T	Johanson Technology Inc	DK	712-1323-1-ND	CAP CER 1PF 250V NP0 0603	603
CL10B103KA8NFNC	Samsung Electro-Mechanics America, Inc	DK	1276-1919-1-ND	CAP CER 10000PF 25V 10% X7R 0603	603
JMK107ABJ106MAHT	Taiyo Yuden	DK	587-3383-1-ND	CAP CER 10UF 6.3V 20% X5R 0603	603
C1608C0G1H220J080AA	TDK Corporation	DK	445-1273-1-ND	CAP CER 22PF 50V 5% C0G 0603	603
GRM188R60J475KE19D	Murata Electronics North America	DK	490-3297-1-ND	CAP CER 4.7UF 6.3V 10% X5R 0603	603
600S1R5BT250XT	American Technical Ceramics	DK	1284-1184-1-ND	CAP CER 1.5PF 250V NP0 0603	603
251R14S4R7BV4T	Johanson Technology Inc	DK	712-1172-1-ND	CAP CER 4.7PF 250V NP0 0603	603
CL10B333KB8NFNC	Samsung Electro-Mechanics America, Inc	DK	1276-2040-1-ND	CAP CER 0.033UF 50V 10% X7R 0603	603
CL10B222KB8NFNC	Samsung Electro-Mechanics America, Inc	DK	1276-1990-1-ND	CAP CER 2200PF 50V 10% X7R 0603	603
GRM188R71C104KA01D	Murata Electronics North America	DK	490-1532-1-ND	CAP CER 0.1UF 16V 10% X7R 0603	603
C0603C569C5GACTU	Kemet	DK	399-7944-1-ND	CAP CER 5.6PF 50V NP0 0603	603
GRM188R61C225KE15D	Murata Electronics North America	DK	490-3296-1-ND	CAP CER 2.2UF 16V 10% X5R 0603	603
250R05L1R5BV4T	Johanson Technology Inc	DK	712-1185-1-ND	CAP CER 1.5PF 25V NP0 0201	603
C1608C0G1H220J080AA	TDK Corporation	DK	445-1273-1-ND	CAP CER 22PF 50V 5% C0G 0603	603
CL10B105KP8NNNC	Samsung Electro-Mechanics America, Inc	DK	1276-1946-1-ND	CAP CER 1UF 10V 10% X7R 0603	603
L-07C3N9SV6T	Johanson Technology Inc	DK	712-1459-1-ND	FIXED IND 3.9NH 300MA 220 MOHM	402
BLM15HB121SN1D	Murata Electronics North America	DK	490-4000-1-ND	FILTER CHIP 120 OHM 300MA 0402	402
HK10058N2J-T	Taiyo Yuden	DK	587-1517-1-ND	FIXED IND 8.2NH 380MA 280 MOHM	402
L-07C2N7SV6T	Johanson Technology Inc	DK	712-1415-1-ND	FIXED IND 2.7NH 300MA 170 MOHM	402
BRL3225T2R2M	Taiyo Yuden	DK	587-2165-1-ND	FIXED IND 2.2UH 1.6A 78 MOHM SMD	1210
BK2125HM601-T	Taiyo Yuden	DK	587-1902-1-ND	FERRITE BEAD 600 OHM 0805	805
L-07C8N2JV6T	Johanson Technology Inc	DK	712-1420-1-ND	FIXED IND 8.2NH 250MA 400 MOHM	402
7B-16.000MAAJ-T	TXC CORPORATION	DK	887-1104-1-ND	Crystal 16.0000MHz 30ppm 18pF 40 Ohm -20°C - 70°C Surface Mount 4-SMD, No Lead (DFN, LCC)	SMD4
FC-255 32.7680K-A3	EPSON	DK	SE2415CT-ND	Crystal 32.7680kHz 20ppm 12.5pF 65 kOhm -40°C - 85°C Surface Mount 2-SMD	SMD2
7M-26.000MAAJ-T	TXC CORPORATION	DK	887-1133-1-ND	Crystal 26.0000MHz 30ppm 18pF 60 Ohm -20°C - 70°C Surface Mount 4-SMD, No Lead (DFN, LCC)	SMD4
2450AT18A100E	Johanson Technology Inc	DK	712-1005-1-ND	ANTENNA CHIP 2.4GHZ	*
BAS316-TP	Micro Commercial Co	DK	BAS316-TPMSCT-ND	DIODE GEN PURP 100V 250MA SOD323	SOD323
PRG18BB330MB1RB	Murata Electronics North America	DK	490-2471-1-ND	THERMISTOR PTC 33 OHM SMD	SOD323
SML-LX0404SIUPGUSB	Lumex Opto/Components Inc	DK	67-2125-1-ND	LED RGB SQUARE CLEAR SMD	404
LTST-C19FD1WT	Lite-On Inc	DK	160-2022-1-ND	LED RGB 605/525/470NM DIFF SMD	SMD4
LTST-C191TBKT	Lite-On Inc	DK	160-1647-1-ND	LED 468NM BLUE CLEAR 0603 SMD	603
CUS-12TB	Copal Electronics Inc	DK	563-1102-1-ND	SWITCH SLIDE SPDT 300MA 4V	*
